"","business_id","name","address","city","state","latitude","longitude","stars","is_open","RestaurantsAttire","RestaurantsTakeOut","BusinessAcceptsCreditCards","NoiseLevel","GoodForKids","RestaurantsReservations","RestaurantsGoodForGroups","RestaurantsPriceRange2","HasTV","Alcohol","BikeParking","RestaurantsDelivery","OutdoorSeating","Caters","WiFi","dessert","latenight","lunch","dinner","brunch","breakfast","garage","street","validated","lot","valet","romantic","intimate","classy","hipster","divey","touristy","trendy","upscale","casual","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"124","7-OCdlOQQCHAqYDI_elK6Q","Doughboys Pizza","246 N Century Ave","Waunakee","WI",43.193692,-89.4611819,3.5,0,"1","True","True","2","True","False","True","1","True","3","True","True","True","True",NA,"False","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","9:0-22:0","11:0-22:0","15:0-20:0"
"132","00J65e-ewht6GZ9fXZdP1w","Pizza Hut","5041 Abbe Rd","Elyria","OH",41.4253019,-82.0765245744,2,1,"1","True","True","3","True","False","True","1","True","2","False","True","False","True",NA,"NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:45","11:0-0:45","11:0-23:0"
"158","isao1F5FW5kvQl402UlJ3g","Little Caesars","125 Broad St","Elyria","OH",41.368042,-82.100909,3,1,NA,"True",NA,NA,NA,NA,NA,"1","True",NA,NA,"True",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"161","fhTTP5HRqOzmFw-31Qe7QA","Mario's Fish Bowl","3962 Mayfield Rd","Cleveland","OH",41.520361,-81.538109,2,0,"1","True","True","3","False","False","False","1","True","3","False","False","True","False","1","NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA
"166","x1Cd2gSPZVeNxDPzzqlClQ","Casey's General Store","602 W North St","De Forest","WI",43.2532756,-89.356575,4,1,"1","True","True",NA,"True","False","True","1","True","1","True","True","False",NA,"1","NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0"
"189","4Vig7oCo9P-j2OnPUfaXCA","Papa John's Pizza","1307 E Florida Ave","Urbana","IL",40.0980033,-88.1927509,2,1,"1","True","True",NA,"False","False","False","1",NA,"1",NA,"True","False","False","1","NA","NA","NA","NA","NA","NA","False","False","False","False","False","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"195","sytLExNDyQuELMDguVUqhA","Pizza Hut","19565 Detroit Rd","Rocky River","OH",41.479501,-81.8392463028,2,1,NA,"True","True",NA,"True","False","False","1",NA,NA,NA,"True","False",NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-23:0"
"196","mSWNf1muSy9wgGtMRgt7Fg","Zeppe's Tavern & Pizzeria","25780 Miles Rd, Ste C","Bedford Heights","OH",41.4236915634,-81.4968538208,3.5,1,"1","True","True","2","True","True","True","2","True","3","False","True","True","True","2","False","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-22:0"
"215","_3-gItHIdBvQ9XrDrIQLXg","Ribkens Cpr","226 Center Rd","Monroeville","PA",40.4405424,-79.7670274,2.5,1,NA,NA,NA,NA,"False",NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"268","2PBPh8LTwt_mXP0GUYa9NQ","Veltre's Pizza","848 Allegheny River Blvd","Oakmont","PA",40.5251659,-79.8404888,4,1,"1","True","True","1","True","False","True","2","True","1",NA,"True","False",NA,NA,"NA","NA","NA","NA","NA","NA","False","True","False","False","False","False","False","False","False","False","False","False","False","True",NA,NA,NA,NA,NA,NA,NA
"313","wTBfpTjdWG_zoE62B_bLtA","Monical's Pizza","102 W Vine St","Tolono","IL",39.98906,-88.2624359,3,1,NA,"True",NA,NA,"False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","False","False","False","True","False","False","False","True","False","False","False","False","False","False","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:30","11:0-21:30","11:0-21:0"
"364","EJGv2la6CcZmEIpkE4hzyg","Iron City Cafe","4002 Jennings Rd","Cleveland","OH",41.4474028,-81.6882012,4.5,1,"1","False","True","2","False","True","True","1","True","3","True","False","True","False","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30"
"369","nsw3tlB-hwz4KbPYcuaSww","Novanta","8452 Old Sauk Rd","Madison","WI",43.0753733443,-89.5296266589,4.5,1,"1","True","True","1","True","False","False","2","True","2","True","False","True","True","2","False","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","0:0-0:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-20:0"
"393","goMccfETQlUOb9_USl4BUg","Mean Mugs Pub","9055 Mentor Ave","Mentor","OH",41.6759301,-81.3153778,4.5,1,"1","True","True","2","True","False","True","2","True","3","True","True","True","False","2","True","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:30","11:0-2:30","11:0-0:0"
"413","ZfCzpZNYSWeA3Ouku2eqlA","Pizza Hut","4001 Main St","Munhall","PA",40.3822107008,-79.9046134,1.5,1,NA,"True","True",NA,"True",NA,"False","1",NA,NA,NA,"True","False",NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0"
"435","h8MMgum-XUQhU4xWCyQWLQ","The Jailhouse Taverne","15478 Avon Belden Rd","Grafton","OH",41.260574,-82.022644,4,1,"1","True","True","3","True","False","True","2","True","3","True","False","True","False","1","False","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0","11:0-23:0"
"437","a3ZqjElMgAe924sbXZVcvA","Sciulli's Pizza","3404 5th Ave","Pittsburgh","PA",40.4391344,-79.961805,4.5,1,"1","True","False",NA,"True","False","True","1","True","1",NA,"False","False",NA,"1","NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","10:0-19:0","10:0-19:0","10:0-19:0","10:0-19:0","10:0-19:0",NA,NA
"442","BQMVcJQV70gUQjwi7-MrSg","Gustoso Authentic Italian Pasta and Pizza","124 E Sangamon Ave","Rantoul","IL",40.3105909,-88.1577955,4,0,"1","True","True","1","True","True","True","2","False","2","True","False","False","True","1","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True",NA,"16:0-20:0","16:0-20:0","16:0-20:0","16:0-20:0","16:0-21:0",NA
"461","y2lttTrB3kyoEG6kDSONbg","Max McQ's","1562 Akron Peninsula Rd","Akron","OH",41.1371133,-81.548506,3.5,0,NA,NA,"True","4",NA,NA,"True","1","True","3","False",NA,"True",NA,NA,"NA","NA","NA","NA","NA","NA","False","False","False","True","False","False","False","False","False","False","False","False","False","True","15:0-0:0","15:0-0:0","15:0-0:0","15:0-0:0","11:0-2:0","11:0-2:0","11:0-2:0"
"465","GqH0U0E3Te5pUUjyiIzNBQ","Hungry Howie's Pizza","1444 E Main","Kent","OH",41.1536575,-81.3363537,3,1,"1","True","True",NA,"True","False","True",NA,"True","1",NA,"True","False","True",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10:30-0:0","10:30-0:0","10:30-0:0","10:30-2:0","10:30-4:0","10:30-4:0","10:30-0:0"
"478","uE6hI5_i4QVq12xU99xtqA","Fazio's Pizza","4028 Penn Ave","Pittsburgh","PA",40.4652007,-79.9568209,4,1,"1","True","True","2","True","False","False","1","True","1",NA,"True","True","False","1","False","False","False","False","False","False","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False",NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","12:0-20:0"
"491","Qy_FDRtL-f-syUlEKpg_6A","Teresa's Pizza","4174 Wheatley Rd","Richfield","OH",41.219576,-81.6369753,2.5,1,"1","True","True","2","True","False","True","2","False","1","False","True","True","False","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","12:0-21:0"
"497","yU7GLvB07AEGhsoCc9scQg","P & M Pizza","1609 5th Ave","Arnold","PA",40.5766784,-79.7682652,4,1,"1","True","False",NA,"True","True","False","1","True","3","False","False","False",NA,"2","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False",NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0"
"508","TQqhfjlPVEz41K_wAogQSQ","Luigi's","515 S Midvale Blvd","Madison","WI",43.0548519,-89.450401,3.5,1,"1","True","True","2","True","False","True","2","False","2","True","True","True","True","2","False","False","False","True","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","True","0:0-0:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0"
"547","vZmKNy61z53RnxBTCy86YQ","Mama Rosa's Pizza Chicken Subs","2457 State Rd","Cuyahoga Falls","OH",41.1407118,-81.5081646,2.5,0,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"582","gbDZhohLAOL1ufdVWHMTxQ","Pizza Hut","4710 Baum Blvd","Pittsburgh","PA",40.4538812,-79.949570481,2,1,"1","True","True","2","True","False","True","1","True","1","True","True","False","False","1","NA","NA","NA","NA","NA","NA","False","False","False","True","False","False","False","False","False","False","False","False","False","False","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0"
"594","Zp2vJfHciG9IiXfmtH5Wdw","Beta Bites","338 S Bouquet St","Pittsburgh","PA",40.4400088,-79.9532523,4,1,"1","True","True","2","True","False","True","1","True","1","True","True","True","True","2","False","False","True","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-3:0","11:0-3:0","11:0-19:0"
"600","OsgTFouPbcrCDnt-byTdAw","Fortino's Pizza","713 Plum St","Oakmont","PA",40.5120686,-79.8367301,3.5,0,"1",NA,NA,NA,"True","False","False",NA,NA,"1",NA,"True",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-21:0",NA
"613","vvyr4r16lx5hjHJpaFJ8kw","Kicker's Pizza & More","15089 Snow Rd","Brook Park","OH",41.403411,-81.803236,3.5,1,"1","True","True","1","True","False","True","1","True","1","False","True","False",NA,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","7:0-1:0","7:0-1:0","7:0-1:0","7:0-1:0","7:0-1:0","7:0-1:0",NA
"625","P7Vk5j_XzWl-9kS5qZd9aQ","Fat Angelo's Pizzeria - Pittsburgh","511 E Carson St","Pittsburgh","PA",40.4288129,-79.994599,3,1,NA,"True",NA,NA,NA,"False",NA,NA,"True",NA,NA,"True",NA,NA,NA,"NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","10:0-22:30","10:0-22:30","10:0-22:30","10:0-22:30","10:0-0:30","10:0-0:30","10:0-22:0"
"644","MkzaB1merlsrz92EMGQQkw","Sunset Grill of Deforest","637 W North St","De Forest","WI",43.2521577,-89.3586181,2.5,0,"1","True","True",NA,"True",NA,"True","2",NA,NA,NA,"False",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","11:0-2:30","11:0-2:0"
"646","UgWVMUWFrr6bt3NSfuKrGQ","Guys Pizza Co","1838 Coventry Rd","Cleveland Heights","OH",41.5092215,-81.5802228,2,1,"1","True","True","2","True","False","True","1","True","1","True","True","False","False","1","NA","NA","NA","NA","NA","NA","False","True","False","False","False","False","False","False","False","True","False","False","False","False","10:30-1:30","10:30-1:30","10:30-1:30","10:30-1:30","10:30-1:30","10:30-1:30","10:30-1:30"
"648","CiNZmBtZRaRSXKjwun4R4A","Pizza Di Roma West","439 Grand Canyon Dr","Madison","WI",43.058414,-89.495487,3.5,1,"1","True","True","1","True","True","True","1","True","3","True","True","True","True","2","False","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",NA
"656","CnmhEiSGkIgUdFGN-rpaHw","Fatbob's Pizza","1739 Pearl Rd","Brunswick","OH",41.2273376,-81.840746,4,1,"1","True","True","2","True","False","True","2","True","2","True","True","False","True","2","False","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0","10:0-23:0","10:0-23:0","12:0-20:0"
"662","TEXUVhF-G_v2Sxwqti8HQA","Old Chicago","1910 N Neil St","Champaign","IL",40.139982,-88.244108,3,1,"1","True","True","2","True","False","True","2","True","3","True","False","True","True","2","False","True","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0",NA
"671","pWJoOfYUWSkro0WNxHspFg","Claudio's Pizzeria & Ristorante","1883 Painter's Run Rd","Pittsburgh","PA",40.3630141,-80.0854621,4.5,1,"1","True","True","1","True","True","True","2","True","1","True","False","False","True","1","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","16:0-21:0"
"681","UXl_Grxsus1o0w3NKxYn4g","Big Guy's Pizza","2539 W 10th St","Cleveland","OH",41.4773602,-81.6872206,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0",NA
"683","_d69ooWJ_7AXYQRvVNSjmQ","Pizza Hut","7520 McKnight Rd","Pittsburgh","PA",40.543238,-80.01371,2,0,"1","True","True","3","True","False","True","1","False",NA,"False","True","False","False",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA
"729","R7eLlAdeIYsxux_Vm0l5sg","Carbonara's Restaurant","250 Mount Lebanon Blvd","Pittsburgh","PA",40.3679633,-80.0370263,3.5,1,"1","True","True","2","True","True","True","2","True","3","True","False","False","True","1","True","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0"
"731","jItwkDeMBFquEb7mAvW-Dw","Little Caesars Pizza","2953 West Liberty Ave","Pittsburgh","PA",40.393766,-80.0353162,1.5,0,"1","True","True","1","True","False","False","1","True","1","True","False","False","False","1","NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA
"763","-Lovf0jkQtvb6Y_WjDn-sw","Sola Pizza","1417 E Carson St","Pittsburgh","PA",40.4289664,-79.9834837,3.5,0,"1","True","True","2","True","False","True","1","False","1","True","True","False","False","1","NA","NA","NA","NA","NA","NA","False","True","False","False","False","False","False","True","False","False","False","False","False","True","16:0-0:0","16:0-0:0","16:0-0:0","16:0-3:0","16:0-3:0","16:0-3:0","11:0-0:0"
"781","JexI9opGP2n_Xv6IKnN0Bg","Domino's Pizza","409 W Gorham St","Madison","WI",43.0735188,-89.3928866,2.5,1,"1","True","True","1","True","False","False","1","True","1","True","True","False","False","1","NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","True","10:30-3:0","10:30-3:0","10:30-3:0","10:30-3:0","10:30-3:0","10:30-3:0","10:30-3:0"
"800","GEpIV65f4afQHlL-yxC3wA","Black Rock Pizza","300 S Broadway Ave","Urbana","IL",40.110634,-88.207179,4,0,NA,NA,"True",NA,"True",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"809","VSbLyFGbq7KUYSpyNxFnew","Master Pizza","4437 Kent Rd","Stow","OH",41.156777,-81.400727,4.5,1,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0","10:0-23:0","10:0-23:0","10:0-21:0"
"884","4MyZEzAuoh8oXPzCEhw_FA","Lotsa Stone Fired Pizza","1733 E Carson St","Pittsburgh","PA",40.428983605,-79.9808689914,4,1,NA,"True","True",NA,NA,"False",NA,NA,"True","1",NA,"True","False","True","2","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","0:0-0:0","11:0-3:0","11:0-0:0","11:0-3:0","11:0-3:0","11:0-3:0","11:0-0:0"
"886","grtgCs-Ni4lTIJJr3dOu_w","Gioninos Pizzeria","14 S Main St","Munroe Falls","OH",41.1389899,-81.4387572,3.5,1,NA,"True","True",NA,"True","False","True","1",NA,NA,NA,"True","False",NA,NA,"NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA
"933","j4Ms51MtI4arORwaICNfCw","Ohio City Pizzeria","3223 Lorain Ave","Cleveland","OH",41.481552,-81.7092341,3,1,"1","True","True","1","True","True","True","1","True","3","False","True","False","True","2","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0",NA
"986","fiRbomFAAtfTYOTTtnDUcA","Caliente Pizza & Drafthouse","4624 Liberty Ave","Pittsburgh","PA",40.4620358,-79.9501025,3,1,"1","True","True","2","False","False","True","2","True","3","True","True","True","True","2","False","True","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0"
"1012","wuyJfCF5gWyz9yrFMaGczQ","The Pub At 333","333 Allegheny Ave","Oakmont","PA",40.5161463892,-79.8436709893,3.5,1,"1","True","True","2","True","True","True","2","True","3","False","False","True","False","2","False","False","False","True","False","False","False","True","False","True","False","False","False","False","False","False","False","True","False","False","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0"
"1022","lqwx4u_BFK8bgd91O-L1hg","Italian Village Pizza","5255 Library Rd","Bethel Park","PA",40.3324787,-80.0218701,3,0,"1","True","True","1","True","False","True","2","True","1","False","True","False","False","1","NA","NA","NA","NA","NA","NA","False","False","False","True","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA
"1064","A4aU9qMO4yxv4q3dqHZjmw","Antonios Pizza","34196 Aurora Rd","Solon","OH",41.3805750447,-81.4293452996,2.5,1,"1","True","True","1","True","False","False","2","True","1","False","True","False","True","1","NA","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA
"1072","LBcCkRqkqJGthuqLE0t7zw","Pizza Hut","1112 Washington Pike","Bridgeville","PA",40.367311,-80.104121,2,1,NA,"True","True",NA,"True","False","True","1","True",NA,NA,"True","False","False",NA,"False","False","False","False","False","False","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0"
"1119","tFuWPheGlUElFlWUTLSUjA","Bishop's Pizza","1811-A Golden Mile Hwy","Plum","PA",40.4472167,-79.7144823,4,1,"1","True","True",NA,"True","False","False","2",NA,NA,"False","True","False",NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15:30-20:30","11:0-20:30","11:0-20:30","11:0-20:30","11:0-21:30","11:0-21:30",NA
"1129","lpel3pRFAzlow7u2TJMz4Q","Humble Wine Bar","15400 Detroit Ave","Lakewood","OH",41.4850751,-81.803588,4,1,"1","True","True","2","False","False","True","2","True","3","True","False","True","False","2","True","True","False","True","False","False","False","True","False","True","False","False","False","True","False","False","False","True","False","False","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-23:0","16:0-23:0",NA
"1131","qUZvcHJ6YDNHVmPLe02mYg","The Pizza Company","1711 Clairton Rd","West Mifflin","PA",40.3289489,-79.9322574,3.5,1,NA,"True",NA,"2",NA,NA,NA,"1",NA,NA,"True",NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0"
"1140","aMQ9eniSKkEkL0id93Y9cw","Carmella's Pizza Bazaar","804 E 222nd St","Euclid","OH",41.5925844,-81.5269791,4.5,1,"1","True","False","1","True","False","True","1","True","1","False","False","False","False","1","NA","NA","NA","NA","NA","NA","False","False","False","True","False","False","False","False","False","False","False","False","False","False",NA,NA,"15:0-21:0","15:0-21:0","15:0-22:0","15:0-22:0","15:0-21:0"
