,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
123,7-OCdlOQQCHAqYDI_elK6Q,Doughboys Pizza,246 N Century Ave,Waunakee,WI,53597,43.193692,-89.4611819,3.5,33,0,"{'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'True', 'HasTV': 'True'}","Pizza, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '9:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '15:0-20:0'}"
131,00J65e-ewht6GZ9fXZdP1w,Pizza Hut,5041 Abbe Rd,Elyria,OH,44035,41.4253019,-82.0765245744,2.0,10,1,"{'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'NoiseLevel': ""'loud'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Caters': 'True', 'RestaurantsReservations': 'False'}","Italian, Chicken Wings, Restaurants, Pizza","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:45', 'Saturday': '11:0-0:45', 'Sunday': '11:0-23:0'}"
157,isao1F5FW5kvQl402UlJ3g,Little Caesars,125 Broad St,Elyria,OH,44035,41.368042,-82.100909,3.0,4,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '1'}","Pizza, Restaurants",
160,fhTTP5HRqOzmFw-31Qe7QA,Mario's Fish Bowl,3962 Mayfield Rd,Cleveland,OH,44121,41.520361,-81.538109,2.0,4,0,"{'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'False', 'BikeParking': 'False', 'NoiseLevel': ""u'loud'"", 'Alcohol': ""'full_bar'"", 'Caters': 'False', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True'}","Seafood, Pizza, Restaurants, Bars, Nightlife, Pet Stores, Pubs, Pets, Food, Beer, Wine & Spirits",
165,x1Cd2gSPZVeNxDPzzqlClQ,Casey's General Store,602 W North St,De Forest,WI,53532,43.2532756,-89.356575,4.0,10,1,"{'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'Alcohol': ""'none'"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'True'}","Pizza, Restaurants, Automotive, Gas Stations, Convenience Stores, Food","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
188,4Vig7oCo9P-j2OnPUfaXCA,Papa John's Pizza,1307 E Florida Ave,Urbana,IL,61801,40.0980033,-88.1927509,2.0,5,1,"{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'False', 'Caters': 'False'}","Pizza, Restaurants",
194,sytLExNDyQuELMDguVUqhA,Pizza Hut,19565 Detroit Rd,Rocky River,OH,44116,41.479501,-81.8392463028,2.0,3,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1'}","Pizza, Italian, Restaurants, Chicken Wings","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}"
195,mSWNf1muSy9wgGtMRgt7Fg,Zeppe's Tavern & Pizzeria,"25780 Miles Rd, Ste C",Bedford Heights,OH,44146,41.4236915634,-81.4968538208,3.5,25,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Event Planning & Services, Wraps, Italian, Sandwiches, Bars, Caterers, Restaurants, Pizza, Nightlife, American (Traditional)","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}"
214,_3-gItHIdBvQ9XrDrIQLXg,Ribkens Cpr,226 Center Rd,Monroeville,PA,15146,40.4405424,-79.7670274,2.5,3,1,"{'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'False'}","Pizza, Restaurants",
267,2PBPh8LTwt_mXP0GUYa9NQ,Veltre's Pizza,848 Allegheny River Blvd,Oakmont,PA,15139,40.5251659,-79.8404888,4.0,23,1,"{'NoiseLevel': ""u'quiet'"", 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Alcohol': ""'none'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True'}","Pizza, Restaurants",
312,wTBfpTjdWG_zoE62B_bLtA,Monical's Pizza,102 W Vine St,Tolono,IL,61880,39.98906,-88.2624359,3.0,10,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Italian, Pizza, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:0'}"
363,EJGv2la6CcZmEIpkE4hzyg,Iron City Cafe,4002 Jennings Rd,Cleveland,OH,44109,41.4474028,-81.6882012,4.5,3,1,"{'OutdoorSeating': 'True', 'HasTV': 'True', 'GoodForKids': 'False', 'CoatCheck': 'False', 'WiFi': ""u'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HappyHour': 'True', 'Caters': 'False', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForDancing': 'True', 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'Music': ""{'dj': True, 'background_music': False, 'jukebox': True, 'live': True, 'video': False, 'karaoke': True}"", 'RestaurantsGoodForGroups': 'True', 'Smoking': ""u'outdoor'"", 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '1'}","Bars, American (New), Restaurants, Pizza, Nightlife","{'Monday': '11:0-2:30', 'Tuesday': '11:0-2:30', 'Wednesday': '11:0-2:30', 'Thursday': '11:0-2:30', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-2:30'}"
368,nsw3tlB-hwz4KbPYcuaSww,Novanta,8452 Old Sauk Rd,Madison,WI,53562,43.0753733443,-89.5296266589,4.5,250,1,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'beer_and_wine'"", 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'HappyHour': 'False'}","Mediterranean, Pizza, American (New), Restaurants, Italian","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}"
392,goMccfETQlUOb9_USl4BUg,Mean Mugs Pub,9055 Mentor Ave,Mentor,OH,44060,41.6759301,-81.3153778,4.5,55,1,"{'BikeParking': 'True', 'WheelchairAccessible': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'OutdoorSeating': 'True', 'HasTV': 'True', 'DriveThru': 'False', 'GoodForKids': 'True', 'Alcohol': ""'full_bar'"", 'NoiseLevel': ""'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HappyHour': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'WiFi': ""'free'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}""}","American (New), Burgers, Nightlife, Restaurants, Bars, Sandwiches, Pizza, Sports Bars","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-2:30', 'Saturday': '11:0-2:30', 'Sunday': '11:0-0:0'}"
412,ZfCzpZNYSWeA3Ouku2eqlA,Pizza Hut,4001 Main St,Munhall,PA,15120,40.3822107008,-79.9046134,1.5,5,1,"{'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1'}","Restaurants, Italian, Pizza, Chicken Wings","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
434,h8MMgum-XUQhU4xWCyQWLQ,The Jailhouse Taverne,15478 Avon Belden Rd,Grafton,OH,44044,41.260574,-82.022644,4.0,121,1,"{'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'WiFi': ""'no'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsTableService': 'True', 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'loud'"", 'GoodForDancing': 'False', 'RestaurantsTakeOut': 'True', 'HappyHour': 'True', 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'Music': ""{'dj': False, 'background_music': True, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'True', 'CoatCheck': 'False', 'Smoking': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Nightlife, Bars, American (New), American (Traditional), Sandwiches, Pizza, Restaurants","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-23:0'}"
